manufacture_date,brand,model,origin,type,seats,gearbox,fuel,color,mileage_v2,price,condition
2017,Mitsubishi,Mirage,Thái Lan,Hatchback,5.0,MT,petrol,red,78000,250000000.0,used
2021,Hyundai,Elantra,Việt Nam,Sedan,5.0,AT,petrol,white,7500,595000000.0,used
2017,Toyota,Fortuner,Nước khác,SUV / Cross over,7.0,AT,petrol,black,91999,720000000.0,used
2012,Kia,Carens,Việt Nam,Minivan (MPV),7.0,MT,petrol,silver,120852,245000000.0,used
2018,Suzuki,Celerio,Thái Lan,Hatchback,5.0,AT,petrol,white,94000,258000000.0,used
2019,Kia,Cerato,Việt Nam,Sedan,5.0,AT,petrol,white,63000,495000000.0,used
2005,Mitsubishi,Jolie,Nhật Bản,SUV / Cross over,8.0,MT,petrol,silver,200000,80000000.0,used
2018,Hyundai,Grand i10,Việt Nam,Hatchback,5.0,AT,petrol,white,78000,315000000.0,used
2015,Hyundai,Grand i10,Ấn Độ,Sedan,5.0,AT,petrol,silver,63000,262000000.0,used
2021,Hyundai,Tucson,Việt Nam,SUV / Cross over,5.0,AT,oil,white,37000,730000000.0,used
2023,Ford,Ranger,Việt Nam,Pick-up (bán tải),5.0,AT,oil,others,0,658500000.0,new
2019,Toyota,Fortuner,Việt Nam,SUV / Cross over,7.0,AT,oil,brown,90000,800000000.0,used
2019,Mitsubishi,Xpander,Nước khác,Minivan (MPV),7.0,AT,petrol,black,690000,460000000.0,used
2019,Ford,Dòng khác,Việt Nam,Hatchback,7.0,MT,oil,black,49000,780000000.0,used
2009,Daewoo,Lacetti,Việt Nam,Sedan,5.0,MT,petrol,silver,25000,125000000.0,used
2002,Mercedes Benz,C Class,Việt Nam,Sedan,5.0,AT,petrol,black,76000,115000000.0,used
2007,Mercedes Benz,C Class,Đức,Sedan,5.0,AT,petrol,grey,156286,240000000.0,used
2008,Toyota,Camry,Việt Nam,Sedan,5.0,AT,petrol,silver,100000,320000000.0,used
2012,Hyundai,Accent,Hàn Quốc,Sedan,5.0,AT,petrol,grey,65000,260000000.0,used
1995,Honda,Accord,Nhật Bản,Sedan,5.0,MT,petrol,blue,121219,70000000.0,used
