manufacture_date,brand,model,origin,type,seats,gearbox,fuel,color,mileage_v2,price,condition
2011,5,172,0,1,5.0,1,3,6,104000,229000000.0,1
2013,5,141,6,7,5.0,1,3,12,135000,365000000.0,1
2014,1,218,6,1,2.0,2,3,10,68000,112000000.0,1
2022,5,61,6,3,7.0,1,2,8,13000,1368000000.0,1
2003,7,41,8,7,5.0,1,3,11,999999,150000000.0,1
1995,6,8,2,7,5.0,2,3,12,200000,31000000.0,1
2015,10,136,6,6,8.0,2,3,11,0,340000000.0,1
2011,1,218,1,1,5.0,1,3,10,112000,155000000.0,1
2016,7,41,8,7,5.0,1,3,1,40000,838000000.0,1
2022,10,245,3,3,7.0,1,3,0,22199,650000000.0,1
2022,5,141,6,7,5.0,1,3,12,26000,576000000.0,1
2018,1,74,1,5,5.0,1,2,12,55000,470000000.0,1
2010,1,87,1,7,5.0,1,3,11,112000,225000000.0,1
2021,10,79,6,7,5.0,1,3,1,32000,639000000.0,1
2019,3,40,3,1,5.0,1,3,10,86000,348000000.0,1
2020,4,21,6,7,5.0,1,3,10,50000,439000000.0,1
2019,5,67,6,7,5.0,1,3,12,26000,488000000.0,1
2014,10,109,6,6,7.0,2,2,11,0,490000000.0,1
2021,2,99,4,6,7.0,1,2,1,29000,910000000.0,1
2007,1,58,6,6,7.0,2,3,4,0,169000000.0,1
2016,2,196,4,5,5.0,1,2,6,85000,522000000.0,1
2023,8,235,4,8,5.0,1,2,7,0,650000000.0,0
2023,4,90,6,6,7.0,1,2,12,0,1589000000.0,0
2009,5,172,0,1,5.0,1,3,0,120000,178000000.0,1
2016,5,172,6,1,5.0,1,3,12,79000,255000000.0,1
2011,5,172,0,1,5.0,1,3,6,53232,195000000.0,1
2022,4,21,6,7,2.0,1,3,12,25900,458000000.0,1
2015,1,87,1,7,5.0,2,3,12,192000,245000000.0,1
2020,3,47,6,6,7.0,1,3,12,29000,935000000.0,1
2022,11,156,6,7,4.0,1,3,10,33790,585000000.0,1
2014,5,172,6,1,5.0,2,3,12,120379,148000000.0,1
2018,5,172,6,1,5.0,2,3,11,73000,259000000.0,1
2023,2,227,6,6,5.0,1,3,0,0,822000000.0,0
2023,11,240,6,1,5.0,1,0,2,0,458000000.0,0
