manufacture_date,brand,model,origin,type,seats,gearbox,fuel,color,mileage_v2,condition
2015,Kia,Sedona,Việt Nam,Minivan (MPV),7.0,AT,petrol,white,100000,used
2023,Mitsubishi,Attrage,Nước khác,Sedan,5.0,MT,petrol,white,0,new
2016,Toyota,Hilux,Thái Lan,Pick-up (bán tải),5.0,AT,oil,black,70000,used
2019,Ford,Ranger,Thái Lan,Pick-up (bán tải),5.0,AT,oil,grey,55000,used
2019,Chevrolet,Colorado,Thái Lan,Pick-up (bán tải),5.0,AT,oil,black,69000,used
2017,Toyota,Vios,Việt Nam,Sedan,5.0,MT,petrol,white,8080,used
2022,Mercedes Benz,GLC,Việt Nam,SUV / Cross over,5.0,AT,petrol,blue,30,used
2021,Kia,Seltos,Việt Nam,SUV / Cross over,5.0,AT,petrol,red,16000,used
2023,Hyundai,Tucson,Việt Nam,SUV / Cross over,5.0,AT,oil,black,0,new
2020,Hyundai,Grand i10,Việt Nam,Sedan,5.0,MT,petrol,red,41000,used
2019,Toyota,Fortuner,Việt Nam,SUV / Cross over,7.0,AT,oil,white,36000,used
2014,Toyota,Vios,Nhật Bản,Sedan,5.0,AT,petrol,silver,11000,used
2021,Hyundai,Accent,Việt Nam,Sedan,5.0,AT,petrol,silver,18000,used
2019,Mazda,3,Việt Nam,Sedan,5.0,AT,petrol,white,42000,used
2018,Mitsubishi,Outlander,Việt Nam,SUV / Cross over,7.0,AT,petrol,white,43000,used
2009,Toyota,Yaris,Nhật Bản,Sedan,5.0,AT,petrol,white,10000,used
2016,Hyundai,Grand i10,Ấn Độ,Sedan,5.0,MT,petrol,silver,88999,used
2017,Toyota,Innova,Việt Nam,Minivan (MPV),8.0,MT,petrol,silver,160000,used
2008,Honda,Civic,Việt Nam,Sedan,4.0,AT,petrol,black,90000,used
2022,Hyundai,Santa Fe,Việt Nam,SUV / Cross over,7.0,AT,petrol,black,23000,used
2009,Toyota,Corolla Altis,Việt Nam,Sedan,5.0,AT,petrol,black,160000,used
2018,Honda,City,Việt Nam,Sedan,5.0,AT,petrol,red,70000,used
2020,Mercedes Benz,GLC Class,Việt Nam,SUV / Cross over,5.0,AT,petrol,black,28000,used
2019,Toyota,Corolla Altis,Việt Nam,Sedan,5.0,AT,petrol,white,80000,used
