iter	MAE	RMSE
349	34676346.14	59709778.82
350	34630451.67	59680951.07
351	34614078.79	59671586.95
352	34600259.69	59653726.52
353	34572395.97	59611423.16
354	34561347.14	59568117.78
355	34524634.68	59517162.49
356	34500479.14	59494007.05
357	34502348.47	59478298.01
358	34470714.61	59433531.66
359	34441531.76	59351952.49
360	34431191.07	59351969.91
361	34430877.14	59350052.17
362	34418733.18	59327345.13
363	34398300.48	59286221.91
364	34363997.82	59258057.97
365	34355688.7	59229543.32
366	34329909.7	59185272.66
367	34300047.88	59124172.78
368	34289003.97	59107121.26
369	34271425.48	59083402.43
370	34270140.5	59086632.7
371	34262763.2	59071370
372	34258291.67	59046695.11
373	34242778.82	59022286.99
374	34229605.56	59002774.8
375	34207702.69	58978699.91
376	34205919.22	58965868.4
377	34201024.16	58942167.36
378	34196724.85	58923261.16
379	34162966.61	58841028.95
380	34143588.6	58804824.92
381	34127514.18	58795287.63
382	34096282.21	58731185.77
383	34082260.63	58710818.17
384	34068047.37	58680846.96
385	34045885.86	58644350.48
386	34042020.4	58624041.6
387	34022471.95	58611877.18
388	34025150.9	58603492.46
389	34025981.07	58571595.77
390	34016622.79	58573271.02
391	34015778.24	58553829.89
392	33996449.54	58519888.93
393	33976979.3	58480871.22
394	33942286.92	58457061.04
395	33923876.96	58434718.42
396	33914631.2	58376316.49
397	33893252.72	58322557.81
398	33880799.21	58258853.16
399	33843783.53	58194811.12
400	33844287.59	58164210.1
401	33826104.65	58149350.74
402	33825243.67	58147602.64
403	33809611.99	58137112.57
404	33802509.2	58128003.95
405	33799497.74	58123193.14
406	33792783.22	58100568.34
407	33735980.13	58045746.47
408	33738265.16	58024562.37
409	33709810.62	57996342.86
410	33703904.01	57992525.95
411	33700000.71	57983927.02
412	33671013.49	57941505.19
413	33658133.15	57933573.22
414	33644840.27	57908541.67
415	33628067.58	57874004.06
416	33593894.16	57824230.25
417	33568426.65	57796675.24
418	33554814.8	57781002.83
419	33544055.62	57770180.02
420	33533522.3	57756145.4
421	33512489.7	57718758.99
422	33490694.05	57652855.69
423	33485429.02	57647448.72
424	33477231.19	57599878.98
425	33447266.85	57555190.81
426	33443351.58	57548202.84
427	33410315.18	57507652.01
428	33408135.08	57478761.9
429	33378216.71	57432971.1
430	33372412.84	57433078.51
431	33345393.53	57420572.06
432	33340879.62	57386150.83
433	33334951.39	57366604.22
434	33321059.28	57350208.71
435	33308182.91	57303457.76
436	33287073.89	57261730.37
437	33281284.24	57249145.13
438	33251243.89	57197485.3
439	33244361.86	57186907.35
440	33234027.42	57176564.49
441	33239829.06	57149528.25
442	33198997.32	57104005.41
443	33202453.17	57095982.06
444	33185588.84	57061195.09
445	33175323.97	57034058.07
446	33162412.73	57001274.73
447	33136314.99	56962769.47
448	33112468.68	56901723.26
449	33090459.98	56888255.74
450	33098886.92	56886838.28
451	33085712.47	56868241.78
452	33063388.63	56827847.65
453	33054032.26	56803890.72
454	33045147.33	56801126.47
455	33037495.39	56800480.76
456	33033210.37	56796974.19
457	33039094.74	56799663.1
458	33052653.61	56799454.96
459	33044614.94	56788623.67
460	33029599.44	56771373.34
461	33026106.7	56744445.1
462	33012883.56	56719370.84
463	32987353.27	56676364.67
464	32980636.09	56661641.01
465	32962090.84	56632709.14
466	32930179.45	56580523.92
467	32927890.72	56577687.11
468	32917143.02	56532213.88
469	32900366.63	56495880.36
470	32892778.61	56485840.51
471	32879682.07	56467812.45
472	32867360.22	56433688.84
473	32851908.82	56411219.18
474	32854060.36	56413499.2
475	32848719.96	56384832.74
476	32814663.5	56360719.38
477	32795756.71	56343941.67
478	32787144.82	56324834.56
479	32783404.39	56286938.4
480	32767916.59	56268376.08
481	32760498.53	56263919.58
482	32759564.63	56259487.23
483	32708229.59	56199895.44
484	32684582.35	56176273.18
485	32677062.67	56171934.79
486	32675985.41	56158537.95
487	32662656.24	56120591.88
488	32647288.89	56102930.66
489	32640959.5	56092115.35
490	32633170.97	56076100.8
